sinal_id,datahora_sinal,datahora_entrada,datahora_saida,horario_sinal,direcao,dow,token,pontos,resultado,config_id
1,2024-03-15 10:30:00,2024-03-15 10:32:00,2024-03-15 10:44:00,10:30,SELL,Friday,10:30|SELL|Friday,50.5,TAKE,0
4,2024-03-18 10:30:00,2024-03-18 10:32:00,2024-03-18 11:24:00,10:30,BUY,Monday,10:30|BUY|Monday,50.5,TAKE,0
6,2024-03-19 03:48:00,2024-03-19 03:50:00,2024-03-19 05:50:00,03:48,BUY,Tuesday,03:48|BUY|Tuesday,50.5,TAKE,0
11,2024-03-20 20:58:00,2024-03-20 21:00:00,2024-03-21 03:58:00,20:58,BUY,Wednesday,20:58|BUY|Wednesday,50.5,TAKE,0
17,2024-03-24 20:58:00,2024-03-24 21:00:00,2024-03-25 08:06:00,20:58,BUY,Sunday,20:58|BUY|Sunday,-117.0,STOP,0
21,2024-03-26 03:48:00,2024-03-26 03:50:00,2024-03-26 08:04:00,03:48,BUY,Tuesday,03:48|BUY|Tuesday,50.5,TAKE,0
29,2024-03-31 20:58:00,2024-03-31 21:00:00,2024-04-01 10:14:00,20:58,BUY,Sunday,20:58|BUY|Sunday,-117.0,STOP,0
33,2024-04-02 03:48:00,2024-04-02 03:50:00,2024-04-02 09:38:00,03:48,BUY,Tuesday,03:48|BUY|Tuesday,-117.0,STOP,0
38,2024-04-03 20:58:00,2024-04-03 21:00:00,2024-04-04 09:46:00,20:58,BUY,Wednesday,20:58|BUY|Wednesday,50.5,TAKE,0
43,2024-04-05 10:30:00,2024-04-05 10:32:00,2024-04-05 10:36:00,10:30,SELL,Friday,10:30|SELL|Friday,50.5,TAKE,0
44,2024-04-07 20:58:00,2024-04-07 21:00:00,2024-04-08 11:32:00,20:58,BUY,Sunday,20:58|BUY|Sunday,50.5,TAKE,0
48,2024-04-09 03:48:00,2024-04-09 03:50:00,2024-04-09 09:42:00,03:48,BUY,Tuesday,03:48|BUY|Tuesday,50.5,TAKE,0
59,2024-04-14 20:58:00,2024-04-14 21:00:00,2024-04-15 04:04:00,20:58,BUY,Sunday,20:58|BUY|Sunday,50.5,TAKE,0
61,2024-04-15 10:30:00,2024-04-15 10:32:00,2024-04-15 11:52:00,10:30,BUY,Monday,10:30|BUY|Monday,-117.0,STOP,0
