tokens,qtd_tokens,d365_trades,d365_winrate,d365_pnl_usd,d365_max_drawdown_usd,d365_profit_factor,d90_trades,d90_winrate,d90_pnl_usd,d90_max_drawdown_usd,d90_profit_factor,d30_trades,d30_winrate,d30_pnl_usd,d30_max_drawdown_usd,d30_profit_factor,score_robustez
03:48|BUY|Monday ; 20:58|BUY|Sunday,2,54,87.03703703703704,3289.5,-702.0,3.2569468267581474,14,92.85714285714286,1079.0,-234.0,5.611111111111111,4,75.0,69.0,-234.0,1.294871794871795,22.941007673319
03:48|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday,3,78,84.61538461538461,4132.5,-835.0,2.631142687981054,18,94.44444444444444,1483.0,-234.0,7.337606837606837,4,75.0,69.0,-234.0,1.294871794871795,22.86240337174174
10:30|BUY|Monday ; 20:58|BUY|Sunday,2,65,84.61538461538461,3395.5,-702.0,2.5723547117388286,16,81.25,611.0,-234.0,1.8703703703703705,4,75.0,69.0,-234.0,1.294871794871795,21.539893173277292
03:48|BUY|Monday ; 10:30|BUY|Friday ; 10:30|BUY|Monday ; 20:58|BUY|Sunday,4,107,83.17757009345794,4957.5,-835.0,2.229691181942205,31,80.64516129032258,1121.0,-500.0,1.7984330484330484,11,72.72727272727273,106.0,-500.0,1.150997150997151,22.33856989216776
10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday,3,89,83.14606741573034,4238.5,-835.0,2.3099984546437953,20,85.0,1015.0,-234.0,2.4458689458689458,4,75.0,69.0,-234.0,1.294871794871795,22.028105196216828
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 20:58|BUY|Sunday,4,112,83.03571428571429,5675.5,-651.5,2.553441905022581,30,86.66666666666667,1690.0,-367.0,2.8055555555555554,8,75.0,138.0,-367.0,1.294871794871795,23.964346666927348
03:48|BUY|Monday ; 10:30|BUY|Friday ; 20:58|BUY|Sunday,3,76,82.89473684210526,3501.5,-936.0,2.223658920146776,22,86.36363636363636,1217.0,-266.0,2.7336182336182335,9,77.77777777777779,239.0,-266.0,1.5106837606837606,21.28570331142801
10:30|SELL|Friday ; 20:58|BUY|Sunday,2,58,82.75862068965517,2782.5,-835.0,2.347131445170661,11,100.0,1111.0,0.0,999.0,2,100.0,202.0,0.0,999.0,22.570493514136178
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 20:58|BUY|Sunday,3,81,82.71604938271605,4219.5,-651.5,2.699013489027582,21,95.23809523809523,1786.0,-234.0,8.632478632478632,6,83.33333333333334,271.0,-234.0,2.158119658119658,23.467189855870615
03:48|BUY|Monday ; 10:30|BUY|Monday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday,4,109,82.56880733944955,5105.0,-936.0,2.291097622660597,30,83.33333333333334,1355.0,-367.0,2.158119658119658,8,75.0,138.0,-367.0,1.294871794871795,22.63364502327222
03:48|BUY|Monday ; 10:30|BUY|Friday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday,5,131,82.44274809160305,5800.5,-968.0,2.13568281938326,35,82.85714285714286,1525.0,-500.0,2.086182336182336,11,72.72727272727273,106.0,-500.0,1.150997150997151,22.991678407764343
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday,5,136,82.35294117647058,6518.5,-963.0,2.3782640871128025,34,88.23529411764706,2094.0,-367.0,3.2371794871794872,8,75.0,138.0,-367.0,1.294871794871795,24.330822910642212
03:48|BUY|Monday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday,3,78,82.05128205128204,3649.0,-936.0,2.3107040229885056,21,90.47619047619048,1451.0,-234.0,4.10042735042735,6,83.33333333333334,271.0,-234.0,2.158119658119658,21.919308418592905
03:48|BUY|Monday ; 10:30|BUY|Friday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday,4,100,82.0,4344.5,-1069.0,2.1033650793650795,26,88.46153846153845,1621.0,-266.0,3.309116809116809,9,77.77777777777779,239.0,-266.0,1.5106837606837606,21.890830891330893
03:48|BUY|Monday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday,5,133,81.95488721804512,5948.0,-968.0,2.1825049701789263,34,85.29411764705883,1759.0,-367.0,2.5034188034188034,8,75.0,138.0,-367.0,1.294871794871795,23.37269957433638
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday,4,105,81.9047619047619,5062.5,-683.5,2.4222503160556257,25,96.0,2190.0,-234.0,10.35897435897436,6,83.33333333333334,271.0,-234.0,2.158119658119658,23.958393173198484
10:30|BUY|Friday ; 10:30|BUY|Monday ; 20:58|BUY|Sunday,3,87,81.60919540229885,3607.5,-835.0,2.0123474112529816,24,79.16666666666666,749.0,-468.0,1.6401709401709401,9,77.77777777777779,239.0,-468.0,1.5106837606837606,20.792989173705088
03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 20:58|BUY|Sunday,3,92,81.52173913043478,4325.5,-734.0,2.3578716057133886,23,86.95652173913044,1318.0,-234.0,2.8774928774928776,6,83.33333333333334,271.0,-234.0,2.158119658119658,22.616038272380052
03:48|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday,4,102,81.37254901960785,4492.0,-968.0,2.1637305699481866,25,92.0,1855.0,-234.0,4.963675213675214,6,83.33333333333334,271.0,-234.0,2.158119658119658,22.59165213857564
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Friday ; 10:30|BUY|Monday ; 20:58|BUY|Sunday,5,134,81.34328358208955,5887.5,-784.5,2.1641127039050914,38,84.21052631578947,1828.0,-500.0,2.301994301994302,13,76.92307692307693,308.0,-500.0,1.4387464387464388,23.458121224057365
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 20:58|BUY|Sunday ; 20:58|SELL|Sunday,5,128,81.25,5780.5,-550.5,2.240583753621633,36,80.55555555555556,1291.0,-367.0,1.7881562881562882,10,70.0,5.0,-367.0,1.0071225071225072,23.12336153139941
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 03:48|SELL|Friday ; 10:30|BUY|Monday ; 20:58|BUY|Sunday,5,133,81.203007518797,6067.5,-650.0,2.270281586936041,38,81.57894736842105,1493.0,-399.0,1.9114774114774116,10,70.0,5.0,-399.0,1.0071225071225072,23.387029707236795
