cenario,trades,winrate,pontos,max_drawdown,profit_factor,modulo
DMI3_TAKE45_SOZINHO_365d,132,86.36363636363636,3081.0,-331.5,2.462962962962963,
DMI3_TAKE45_SOZINHO_90d,31,87.09677419354838,760.5,-234.0,2.625,
DMI3_TAKE45_SOZINHO_30d,11,90.9090909090909,338.0,0.0,3.888888888888889,
DMI3_TAKE45_SOZINHO_DMI3_0348_BUY,84,83.33333333333334,1547.0,-305.5,1.9444444444444444,DMI3_0348_BUY
DMI3_TAKE45_SOZINHO_DMI3_1030_BUY,55,80.0,715.0,-409.5,1.5555555555555556,DMI3_1030_BUY
DMI3_TAKE45_SOZINHO_DMI3_1030_SELL,44,63.63636363636363,-598.0,-1326.0,0.6805555555555556,DMI3_1030_SELL
DMI3_TAKE45_SOZINHO_DMI3_2058_BUY,105,75.23809523809524,552.5,-884.0,1.1816239316239316,DMI3_2058_BUY
EMAADX_EXTRA_SOZINHO_365d,139,75.53956834532374,1324.5,-827.5,1.3329562594268476,
EMAADX_EXTRA_SOZINHO_90d,35,71.42857142857143,92.5,-380.5,1.079059829059829,
EMAADX_EXTRA_SOZINHO_30d,15,80.0,255.0,-234.0,1.7264957264957266,
EMAADX_EXTRA_SOZINHO_EMAADX_BUY,169,71.00591715976331,327.0,-1591.0,1.0570381998953426,EMAADX_BUY
EMAADX_EXTRA_SOZINHO_EMAADX_SELL,137,72.99270072992701,721.0,-947.0,1.1665511665511665,EMAADX_SELL
COMPILADO_DMI3_EMAADX_365d,230,81.30434782608695,3947.5,-632.0,1.7846352613794474,
COMPILADO_DMI3_EMAADX_90d,56,80.35714285714286,875.5,-305.5,1.6802641802641802,
COMPILADO_DMI3_EMAADX_30d,22,86.36363636363636,568.5,-234.0,2.6196581196581197,
COMPILADO_DMI3_EMAADX_DMI3_0348_BUY,80,82.5,1365.0,-234.0,1.8333333333333333,DMI3_0348_BUY
COMPILADO_DMI3_EMAADX_DMI3_1030_BUY,49,81.63265306122449,767.0,-312.0,1.728395061728395,DMI3_1030_BUY
COMPILADO_DMI3_EMAADX_DMI3_1030_SELL,40,65.0,-455.0,-1137.5,0.7222222222222222,DMI3_1030_SELL
COMPILADO_DMI3_EMAADX_DMI3_2058_BUY,57,80.7017543859649,806.0,-312.0,1.6262626262626263,DMI3_2058_BUY
COMPILADO_DMI3_EMAADX_EMAADX_BUY,147,70.74829931972789,221.0,-1426.0,1.0439276485788114,EMAADX_BUY
COMPILADO_DMI3_EMAADX_EMAADX_SELL,121,73.55371900826447,750.5,-665.0,1.2004540598290598,EMAADX_SELL
COMPILADO_COM_2052_365d,234,80.76923076923077,3814.5,-632.0,1.7245014245014245,
COMPILADO_COM_2052_90d,57,77.19298245614034,591.0,-376.0,1.388560157790927,
COMPILADO_COM_2052_30d,23,86.95652173913044,619.0,-234.0,2.7635327635327633,
COMPILADO_COM_2052_DMI3_0348_BUY,80,82.5,1365.0,-234.0,1.8333333333333333,DMI3_0348_BUY
COMPILADO_COM_2052_DMI3_1030_BUY,49,81.63265306122449,767.0,-312.0,1.728395061728395,DMI3_1030_BUY
COMPILADO_COM_2052_DMI3_1030_SELL,39,66.66666666666666,-338.0,-1020.5,0.7777777777777778,DMI3_1030_SELL
COMPILADO_COM_2052_DMI3_2058_BUY,56,80.35714285714286,760.5,-312.0,1.5909090909090908,DMI3_2058_BUY
COMPILADO_COM_2052_EMAADX_BUY,153,71.24183006535948,356.5,-1205.5,1.0692501942501942,EMAADX_BUY
COMPILADO_COM_2052_EMAADX_SELL,126,73.01587301587301,668.0,-761.0,1.1679235796882856,EMAADX_SELL
