cenario,modulo,datahora_sinal,datahora_entrada,datahora_saida,direcao,take,stop,pontos,resultado
DMI3_TAKE45_SOZINHO,DMI3_1030_SELL,2024-03-15 10:30:00,2024-03-15 10:32:00,2024-03-15 10:42:00,SELL,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_1030_BUY,2024-03-18 10:30:00,2024-03-18 10:32:00,2024-03-18 10:46:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_2058_BUY,2024-03-20 20:58:00,2024-03-20 21:00:00,2024-03-21 03:26:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_2058_BUY,2024-03-24 20:58:00,2024-03-24 21:00:00,2024-03-25 08:06:00,BUY,45.5,117.0,-117.0,STOP
DMI3_TAKE45_SOZINHO,DMI3_0348_BUY,2024-03-26 03:48:00,2024-03-26 03:50:00,2024-03-26 06:20:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_2058_BUY,2024-03-31 20:58:00,2024-03-31 21:00:00,2024-04-01 10:14:00,BUY,45.5,117.0,-117.0,STOP
DMI3_TAKE45_SOZINHO,DMI3_0348_BUY,2024-04-02 03:48:00,2024-04-02 03:50:00,2024-04-02 09:38:00,BUY,45.5,117.0,-117.0,STOP
DMI3_TAKE45_SOZINHO,DMI3_2058_BUY,2024-04-03 20:58:00,2024-04-03 21:00:00,2024-04-04 09:42:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_1030_SELL,2024-04-05 10:30:00,2024-04-05 10:32:00,2024-04-05 10:36:00,SELL,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_2058_BUY,2024-04-07 20:58:00,2024-04-07 21:00:00,2024-04-08 09:52:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_1030_BUY,2024-04-08 10:30:00,2024-04-08 10:32:00,2024-04-08 11:32:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_0348_BUY,2024-04-09 03:48:00,2024-04-09 03:50:00,2024-04-09 09:12:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_1030_BUY,2024-04-15 10:30:00,2024-04-15 10:32:00,2024-04-15 11:52:00,BUY,45.5,117.0,-117.0,STOP
DMI3_TAKE45_SOZINHO,DMI3_1030_SELL,2024-04-19 10:30:00,2024-04-19 10:32:00,2024-04-19 10:52:00,SELL,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_2058_BUY,2024-04-21 20:58:00,2024-04-21 21:00:00,2024-04-22 10:48:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_1030_SELL,2024-04-26 10:30:00,2024-04-26 10:32:00,2024-04-26 10:56:00,SELL,45.5,117.0,-117.0,STOP
DMI3_TAKE45_SOZINHO,DMI3_2058_BUY,2024-04-28 20:58:00,2024-04-28 21:00:00,2024-04-29 10:30:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_0348_BUY,2024-04-30 03:48:00,2024-04-30 03:50:00,2024-04-30 12:08:00,BUY,45.5,117.0,-117.0,STOP
DMI3_TAKE45_SOZINHO,DMI3_2058_BUY,2024-05-01 20:58:00,2024-05-01 21:00:00,2024-05-02 04:48:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_1030_SELL,2024-05-10 10:30:00,2024-05-10 10:32:00,2024-05-10 11:20:00,SELL,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_2058_BUY,2024-05-12 20:58:00,2024-05-12 21:00:00,2024-05-13 02:04:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_1030_BUY,2024-05-13 10:30:00,2024-05-13 10:32:00,2024-05-14 09:30:00,BUY,45.5,117.0,-117.0,STOP
DMI3_TAKE45_SOZINHO,DMI3_2058_BUY,2024-05-15 20:58:00,2024-05-15 21:00:00,2024-05-17 15:00:00,BUY,45.5,117.0,-117.0,STOP
DMI3_TAKE45_SOZINHO,DMI3_2058_BUY,2024-05-19 20:58:00,2024-05-19 21:00:00,2024-05-20 10:44:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_2058_BUY,2024-05-22 20:58:00,2024-05-22 21:00:00,2024-05-22 23:54:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_1030_BUY,2024-05-27 10:30:00,2024-05-27 10:32:00,2024-05-27 12:48:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_0348_BUY,2024-05-28 03:48:00,2024-05-28 03:50:00,2024-05-28 15:38:00,BUY,45.5,117.0,-117.0,STOP
DMI3_TAKE45_SOZINHO,DMI3_1030_SELL,2024-05-31 10:30:00,2024-05-31 10:32:00,2024-05-31 10:50:00,SELL,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_2058_BUY,2024-06-02 20:58:00,2024-06-02 21:00:00,2024-06-02 21:18:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_0348_BUY,2024-06-03 03:48:00,2024-06-03 03:50:00,2024-06-03 10:28:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_1030_BUY,2024-06-03 10:30:00,2024-06-03 10:32:00,2024-06-03 10:46:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_0348_BUY,2024-06-04 03:48:00,2024-06-04 03:50:00,2024-06-04 10:30:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_2058_BUY,2024-06-05 20:58:00,2024-06-05 21:00:00,2024-06-07 09:30:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_0348_BUY,2024-06-10 03:48:00,2024-06-10 03:50:00,2024-06-10 11:58:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_0348_BUY,2024-06-11 03:48:00,2024-06-11 03:50:00,2024-06-11 14:52:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_2058_BUY,2024-06-12 20:58:00,2024-06-12 21:00:00,2024-06-13 03:42:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_2058_BUY,2024-06-19 20:58:00,2024-06-19 21:00:00,2024-06-20 00:44:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_1030_SELL,2024-06-28 10:30:00,2024-06-28 10:32:00,2024-06-28 11:00:00,SELL,45.5,117.0,-117.0,STOP
DMI3_TAKE45_SOZINHO,DMI3_2058_BUY,2024-07-03 20:58:00,2024-07-03 21:00:00,2024-07-05 03:26:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_1030_SELL,2024-07-05 10:30:00,2024-07-05 10:32:00,2024-07-05 12:40:00,SELL,45.5,117.0,-117.0,STOP
DMI3_TAKE45_SOZINHO,DMI3_1030_BUY,2024-07-08 10:30:00,2024-07-08 10:32:00,2024-07-08 12:22:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_0348_BUY,2024-07-09 03:48:00,2024-07-09 03:50:00,2024-07-09 11:12:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_2058_BUY,2024-07-10 20:58:00,2024-07-10 21:00:00,2024-07-11 09:30:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_2058_BUY,2024-07-14 20:58:00,2024-07-14 21:00:00,2024-07-15 02:40:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_1030_SELL,2024-07-19 10:30:00,2024-07-19 10:32:00,2024-07-19 10:40:00,SELL,45.5,117.0,-117.0,STOP
DMI3_TAKE45_SOZINHO,DMI3_1030_SELL,2024-07-26 10:30:00,2024-07-26 10:32:00,2024-07-26 10:42:00,SELL,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_2058_BUY,2024-07-28 20:58:00,2024-07-28 21:00:00,2024-07-28 21:26:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_2058_BUY,2024-07-31 20:58:00,2024-07-31 21:00:00,2024-08-01 05:08:00,BUY,45.5,117.0,-117.0,STOP
DMI3_TAKE45_SOZINHO,DMI3_1030_BUY,2024-08-05 10:30:00,2024-08-05 10:32:00,2024-08-05 10:32:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_0348_BUY,2024-08-06 03:48:00,2024-08-06 03:50:00,2024-08-06 05:14:00,BUY,45.5,117.0,-117.0,STOP
DMI3_TAKE45_SOZINHO,DMI3_2058_BUY,2024-08-11 20:58:00,2024-08-11 21:00:00,2024-08-12 04:50:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_0348_BUY,2024-08-13 03:48:00,2024-08-13 03:50:00,2024-08-13 04:06:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_0348_BUY,2024-08-19 03:48:00,2024-08-19 03:50:00,2024-08-19 09:14:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_2058_BUY,2024-08-21 20:58:00,2024-08-21 21:00:00,2024-08-22 08:20:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_2058_BUY,2024-08-25 20:58:00,2024-08-25 21:00:00,2024-08-25 21:48:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_0348_BUY,2024-08-26 03:48:00,2024-08-26 03:50:00,2024-08-26 04:32:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_1030_BUY,2024-08-26 10:30:00,2024-08-26 10:32:00,2024-08-26 11:10:00,BUY,45.5,117.0,-117.0,STOP
DMI3_TAKE45_SOZINHO,DMI3_1030_SELL,2024-08-30 10:30:00,2024-08-30 10:32:00,2024-08-30 11:56:00,SELL,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_0348_BUY,2024-09-02 03:48:00,2024-09-02 03:50:00,2024-09-02 09:00:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_1030_BUY,2024-09-02 10:30:00,2024-09-02 10:32:00,2024-09-02 19:02:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_0348_BUY,2024-09-03 03:48:00,2024-09-03 03:50:00,2024-09-03 04:08:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_2058_BUY,2024-09-08 20:58:00,2024-09-08 21:00:00,2024-09-08 21:28:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_0348_BUY,2024-09-09 03:48:00,2024-09-09 03:50:00,2024-09-09 04:50:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_1030_BUY,2024-09-09 10:30:00,2024-09-09 10:32:00,2024-09-09 10:50:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_1030_SELL,2024-09-13 10:30:00,2024-09-13 10:32:00,2024-09-13 11:24:00,SELL,45.5,117.0,-117.0,STOP
DMI3_TAKE45_SOZINHO,DMI3_2058_BUY,2024-09-15 20:58:00,2024-09-15 21:00:00,2024-09-16 10:12:00,BUY,45.5,117.0,-117.0,STOP
DMI3_TAKE45_SOZINHO,DMI3_0348_BUY,2024-09-17 03:48:00,2024-09-17 03:50:00,2024-09-17 04:36:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_2058_BUY,2024-09-18 20:58:00,2024-09-18 21:00:00,2024-09-18 21:00:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_1030_SELL,2024-09-20 10:30:00,2024-09-20 10:32:00,2024-09-22 19:00:00,SELL,45.5,117.0,-117.0,STOP
DMI3_TAKE45_SOZINHO,DMI3_2058_BUY,2024-09-22 20:58:00,2024-09-22 21:00:00,2024-09-22 21:32:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_0348_BUY,2024-09-24 03:48:00,2024-09-24 03:50:00,2024-09-24 05:16:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_2058_BUY,2024-09-25 20:58:00,2024-09-25 21:00:00,2024-09-25 23:02:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_2058_BUY,2024-09-29 20:58:00,2024-09-29 21:00:00,2024-09-29 23:34:00,BUY,45.5,117.0,-117.0,STOP
DMI3_TAKE45_SOZINHO,DMI3_1030_BUY,2024-09-30 10:30:00,2024-09-30 10:32:00,2024-09-30 15:20:00,BUY,45.5,117.0,-117.0,STOP
DMI3_TAKE45_SOZINHO,DMI3_2058_BUY,2024-10-02 20:58:00,2024-10-02 21:00:00,2024-10-03 00:36:00,BUY,45.5,117.0,-117.0,STOP
DMI3_TAKE45_SOZINHO,DMI3_1030_BUY,2024-10-07 10:30:00,2024-10-07 10:32:00,2024-10-07 15:30:00,BUY,45.5,117.0,-117.0,STOP
DMI3_TAKE45_SOZINHO,DMI3_2058_BUY,2024-10-09 20:58:00,2024-10-09 21:00:00,2024-10-10 09:40:00,BUY,45.5,117.0,-117.0,STOP
DMI3_TAKE45_SOZINHO,DMI3_1030_SELL,2024-10-11 10:30:00,2024-10-11 10:32:00,2024-10-11 11:16:00,SELL,45.5,117.0,-117.0,STOP
DMI3_TAKE45_SOZINHO,DMI3_1030_BUY,2024-10-14 10:30:00,2024-10-14 10:32:00,2024-10-14 10:34:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_0348_BUY,2024-10-21 03:48:00,2024-10-21 03:50:00,2024-10-21 10:36:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_0348_BUY,2024-10-22 03:48:00,2024-10-22 03:50:00,2024-10-22 11:06:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_1030_BUY,2024-10-28 10:30:00,2024-10-28 10:32:00,2024-10-28 11:30:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_0348_BUY,2024-10-29 03:48:00,2024-10-29 03:50:00,2024-10-29 11:24:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_1030_SELL,2024-11-01 10:30:00,2024-11-01 10:32:00,2024-11-01 11:12:00,SELL,45.5,117.0,-117.0,STOP
DMI3_TAKE45_SOZINHO,DMI3_1030_BUY,2024-11-04 10:30:00,2024-11-04 10:32:00,2024-11-04 11:34:00,BUY,45.5,117.0,-117.0,STOP
DMI3_TAKE45_SOZINHO,DMI3_0348_BUY,2024-11-05 03:48:00,2024-11-05 03:50:00,2024-11-05 08:46:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_2058_BUY,2024-11-06 20:58:00,2024-11-06 21:00:00,2024-11-07 02:10:00,BUY,45.5,117.0,45.5,TAKE
